legacy_pr,legacy_head_sha,classification,payload_path,stable_ids,salvage_status,merge_policy,notes
57,7f12d64fe3a0c5ea5f735a77f25b7756d0773ad9,SALVAGE+HISTORICAL,"database/mappings/deter_cerrado_*_guard_2026.json; docs/audits/DETER_CERRADO_*","DETER Cerrado / current DR-product mapping to be confirmed",pending_revalidation,NEVER_MERGE,"Extract only current-use scientific assertions; discard platform-specific guards/validators from active model"
58,4af0d76233c17d40349483f5ad69c205a9989af2,HISTORICAL+SUPERSEDED,"config/instance1_scope_contract.json; docs/decisions; docs/roadmap","n/a",principles_already_absorbed,NEVER_MERGE,"Granularity/minimum-sufficiency principles were absorbed by current operating model; do not port Instance 1 runtime/contracts"
59,1fc7f9be704878261042a5a315f8827f81f0f3da,SUPERSEDED+REMOVE,"database/schema/004_instance1_minimum_core.sql; scripts/promote_instance1_minimum_core.py","n/a",no_scientific_payload,NEVER_MERGE,"Old PostgreSQL implementation/runtime"
60,c40e814abee05fb4592b1e94554abbe2ad9496ac,SALVAGE,data/instance1_entry_enrichment_batch01.json,"DR0002|DR0003|DR0004",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
61,94e5568edb4cce4138f829b9c34234bd168b1d88,SALVAGE,data/instance1_entry_enrichment_batch02.json,"DR0005|DR0006|DR0007",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
62,50b9e3a988fd3ed50ff351e6b0f975ee2feb00ea,SALVAGE,data/instance1_entry_enrichment_batch03.json,"DR0008|DR0009|DR0010",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
63,27761312c6c7bca26377d465f68ad1b1ee4df36f,SALVAGE,"data/instance1_entry_enrichment_batch04.json; data/instance1_entry_enrichment_batch05.json","DR0011|DR0012|DR0013|DR0014|DR0015|DR0016",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
64,7467c15fae0424643333fc111dba2d8734d5b69c,SALVAGE,data/instance1_entry_enrichment_batch06.json,"DR0001|DR0017|DR0018|DR0019|DR0020|DR0021",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
65,f6af113a3c8bbd80d80ce0c4fc45f7742f9c4634,SALVAGE,data/instance1_entry_enrichment_batch07.json,"DR0022|DR0023|DR0024|DR0025|DR0026|DR0027",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
66,15ab97f15574aa7086fa4402627ff32c74f2159b,SALVAGE,data/instance1_entry_enrichment_batch08.json,"DR0028|DR0029|DR0030|DR0031|DR0032|DR0033",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
67,04044cef01fe4dc046d4cf8509215d915f446eb9,SALVAGE,data/instance1_entry_enrichment_batch09.json,"DR0034|DR0035|DR0036|DR0037|DR0038|DR0039",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
68,6d22b82e61df419b1e3be2cd1971d9b8fdb9573a,SALVAGE,data/instance1_entry_enrichment_batch10.json,"DR0040|DR0041|DR0042|DR0043|DR0044|DR0045",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
69,cfde00033b8bf542c1d0147685acc31278cef8f3,SALVAGE,data/instance1_entry_enrichment_batch11.json,"DR0046|DR0047|DR0048|DR0049|DR0050|DR0051",pending_revalidation,NEVER_MERGE,"Reuse only field-level evidence after current official-source verification"
